Date,Open,High,Low,Close,Adj Close,Volume
2017-12-07,88.25,88.27,87.54,87.9,62.84,2346000
2017-12-08,87.57,88.12,87.57,88.05,62.94,2701700
2017-12-11,87.81,88.39,87.55,88.37,63.17,2244200
2017-12-12,88.01,88.23,87.07,87.13,62.29,2787200
2017-12-13,87.43,88.19,87.15,87.56,62.59,3938200
2017-12-14,87.52,87.84,86.72,87.56,62.59,2437800
2017-12-15,87.71,88.16,87.55,87.84,62.79,6372800
2017-12-18,88.0,88.15,86.4,86.54,61.86,3166000
2017-12-19,86.66,86.73,84.93,85.01,60.77,2635100
2017-12-20,85.0,85.4,84.43,84.49,60.4,2011400
2017-12-21,84.45,84.77,83.75,84.3,60.26,2966400
2017-12-22,84.4,84.62,83.97,84.17,60.17,1683900
2017-12-26,84.26,84.38,83.56,83.6,59.76,1223100
2017-12-27,83.64,84.1,83.64,83.98,60.03,1663700
2017-12-28,84.08,84.26,83.86,83.99,60.04,1904400
2017-12-29,84.28,84.58,83.98,84.11,60.13,2210700
2018-01-02,84.28,84.42,82.9,83.23,59.5,3167900
2018-01-03,83.06,83.79,82.84,82.97,59.31,2690200
2018-01-04,82.82,83.23,82.15,82.32,58.85,2475800
2018-01-05,82.51,82.75,81.35,81.94,58.58,3827200
2018-01-08,81.98,82.31,81.72,82.2,58.76,3560000
2018-01-09,82.03,82.03,80.96,81.24,58.08,2781700
2018-01-10,80.78,80.95,79.92,80.11,57.27,3227200
2018-01-11,79.51,80.14,79.0,79.28,56.67,4087200
2018-01-12,79.0,79.61,78.55,78.9,56.4,3211400
2018-01-16,79.09,79.27,78.21,78.42,56.06,4375300
2018-01-17,78.36,78.7,77.62,78.41,56.05,4125200
2018-01-18,78.64,78.64,77.05,77.34,55.29,4757600
2018-01-19,77.47,77.82,76.64,76.82,54.92,4536700
2018-01-22,77.16,77.65,76.85,76.95,55.01,3720100
2018-01-23,77.75,78.45,77.24,77.71,55.55,4033900
2018-01-24,77.7,77.73,77.21,77.24,55.22,3601700
2018-01-25,77.23,79.22,77.2,78.9,56.4,4842900
2018-01-26,78.93,79.04,78.06,78.83,56.35,3944500
2018-01-29,78.55,78.57,77.17,77.29,55.25,4901300
2018-01-30,77.1,77.91,76.97,77.66,55.52,3969200
2018-01-31,77.78,78.58,77.25,78.5,56.12,4007000
2018-02-01,78.32,78.65,76.67,76.84,54.93,4328600
2018-02-02,76.82,77.73,76.43,76.53,54.71,4252400
2018-02-05,76.65,77.59,75.73,75.81,54.19,5852100
2018-02-06,75.15,75.25,72.93,74.49,53.25,7810800
2018-02-07,74.46,75.56,74.18,74.4,53.19,4840400
2018-02-08,74.09,75.87,73.8,74.32,53.13,6160100
2018-02-09,74.32,76.72,73.86,76.1,54.4,6312300
2018-02-12,76.12,77.25,75.66,76.81,54.91,4373100
2018-02-13,76.54,77.3,75.82,77.08,55.1,3808000
